Angle,Distance,StartBit,Health
23.8,3970.0,1.0,42.0
35.33,450.0,1.0,63.0
352.47,0.0,0.0,0.0
351.33,434.0,0.0,15.0
354.88,8128.5,0.0,15.0
1.59,459.25,0.0,15.0
7.56,437.5,0.0,0.0
6.56,591.5,0.0,15.0
12.92,3969.5,1.0,1.0
118.05,14031.5,1.0,3.0
21.23,377.25,0.0,1.0
124.03,10627.5,0.0,47.0
124.03,1099.75,0.0,39.0
125.06,1335.25,0.0,4.0
124.03,355.75,1.0,34.0
53.48,0.0,0.0,0.0
57.02,0.0,0.0,0.0
60.53,14799.5,0.0,0.0
476.23,3969.25,1.0,1.0
72.28,0.0,0.0,0.0
403.45,5384.75,0.0,0.0
13.3,10316.5,1.0,9.0
81.83,452.0,0.0,15.0
88.72,2752.0,0.0,0.0
124.05,10208.25,0.0,42.0
96.38,290.25,0.0,9.0
103.88,0.0,0.0,0.0
106.2,0.0,0.0,0.0
112.06,3971.25,0.0,0.0
338.42,12623.5,1.0,11.0
115.16,916.5,0.0,3.0
121.13,881.5,0.0,15.0
123.44,884.0,0.0,15.0
124.63,877.75,0.0,15.0
246.48,3971.25,1.0,32.0
164.5,3971.25,1.0,14.0
22.52,3971.25,1.0,7.0
10.52,3971.25,1.0,44.0
25.72,79.5,1.0,17.0
143.53,821.0,0.0,15.0
26.78,8911.5,0.0,15.0
175.56,12882.75,1.0,18.0
155.38,840.25,0.0,15.0
64.61,3971.25,1.0,26.0
204.63,3971.25,1.0,47.0
26.95,15055.5,0.0,20.0
166.97,875.0,0.0,15.0
112.66,3971.5,1.0,49.0
175.03,938.25,0.0,15.0
124.67,5693.25,0.0,0.0
56.52,9930.5,1.0,23.0
57.66,0.0,1.0,23.0
190.83,7503.5,0.0,13.0
30.75,1487.5,1.0,24.0
198.67,1789.25,0.0,15.0
85.55,8271.5,0.0,15.0
158.17,9562.5,0.0,15.0
213.97,540.25,0.0,15.0
217.5,2127.5,0.0,15.0
227.44,0.0,0.0,15.0
222.95,600.75,0.0,15.0
225.55,10332.25,0.0,15.0
125.31,7453.75,0.0,15.0
13.61,3151.5,0.0,29.0
192.94,3969.5,1.0,0.0
496.95,3969.25,1.0,23.0
11.63,8079.5,1.0,31.0
264.03,8372.75,0.0,15.0
124.05,405.0,1.0,3.0
271.09,34.25,0.0,0.0
268.2,13903.5,0.0,14.0
274.88,4040.25,0.0,15.0
276.31,4025.25,0.0,15.0
279.84,3963.0,0.0,15.0
281.03,3800.0,0.0,15.0
114.25,4815.5,1.0,35.0
124.06,9281.75,0.0,35.0
124.06,9317.25,1.0,41.0
19.02,9359.5,0.0,36.0
124.06,25.75,1.0,28.0
303.91,0.0,0.0,15.0
307.5,0.0,0.0,15.0
311.95,173.25,0.0,15.0
315.72,0.0,0.0,15.0
320.42,0.0,0.0,0.0
125.64,10517.75,0.0,15.0
333.42,13259.5,0.0,13.0
16.69,3970.5,1.0,41.0
419.3,3971.25,1.0,42.0
339.16,768.75,0.0,15.0
347.03,453.25,0.0,15.0
98.86,3969.75,0.0,8.0
13.39,11487.25,1.0,44.0
4.05,160.75,0.0,30.0
7.36,0.0,0.0,0.0
8.55,3969.5,0.0,0.0
8.92,409.0,0.0,15.0
12.75,719.5,0.0,15.0
11.89,8655.5,0.0,1.0
11.8,6607.5,0.0,2.0
11.36,13519.5,0.0,3.0
43.55,353.75,0.0,15.0
46.98,355.25,0.0,15.0
48.0,163.75,0.0,15.0
59.16,13056.0,0.0,0.0
124.03,1992.75,1.0,7.0
124.03,2022.25,1.0,56.0
65.38,385.0,1.0,1.0
66.41,392.5,0.0,15.0
72.03,0.0,0.0,0.0
73.2,0.0,0.0,0.0
70.17,398.0,0.0,15.0
71.28,404.25,0.0,15.0
12.47,13007.5,0.0,15.0
78.3,3969.0,1.0,58.0
402.3,3969.5,1.0,6.0
81.48,452.25,0.0,15.0
84.73,492.25,0.0,15.0
124.05,2853.25,1.0,59.0
94.77,129.0,0.0,8.0
104.91,13.25,0.0,0.0
0.42,128.0,0.0,0.0
26.42,8271.5,1.0,62.0
112.48,930.0,0.0,13.0
113.8,922.0,0.0,15.0
120.84,885.0,0.0,11.0
122.06,875.25,0.0,15.0
132.09,839.0,1.0,22.0
133.92,4357.0,0.0,15.0
137.42,828.0,0.0,15.0
438.58,3971.0,0.0,15.0
124.38,4735.25,0.0,15.0
432.58,3971.0,1.0,48.0
84.61,5955.25,1.0,52.0
27.08,4943.5,0.0,20.0
167.72,890.25,0.0,15.0
402.67,11267.5,1.0,58.0
51.56,8911.5,1.0,22.0
358.17,13782.75,0.0,22.0
187.98,1943.0,0.0,15.0
189.23,1790.0,0.0,15.0
190.41,15344.75,0.0,15.0
108.16,6181.75,0.0,61.0
304.75,920.5,1.0,15.0
197.05,8399.5,0.0,15.0
200.69,2823.25,0.0,15.0
201.86,3978.75,0.0,15.0
463.42,7193.75,0.0,15.0
214.66,534.25,0.0,15.0
215.97,533.25,0.0,15.0
219.41,7126.25,0.0,15.0
227.48,554.25,0.0,15.0
232.33,519.0,0.0,15.0
11.64,9935.5,1.0,31.0
364.98,3969.25,1.0,31.0
394.98,3969.25,1.0,31.0
499.0,8510.75,1.0,5.0
267.13,8911.5,0.0,0.0
264.25,8774.25,0.0,15.0
267.75,4010.75,0.0,15.0
271.28,4076.75,0.0,15.0
272.44,4176.25,0.0,15.0
273.61,4212.25,0.0,15.0
274.73,4178.0,0.0,15.0
